system,sigma,variant,cfg,rmse_rms,rmse_med,rmse_p95,anees,fire,metrics,covariance_policy,runs,cov_bad_runs,cov_bad_frac,secs,labels,gain,recal,metric
trn,5.623413251903491,EKF,F3,0.12222895177351398,0.010151938318296732,0.026607329172100923,15.624818589626372,0.010183333333333332,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,247.76630950000072,v4,mean,single,Pinv
trn,5.623413251903491,EKF,F4,0.14174263584439364,0.009769062855714397,0.020346460461424715,16.836185275440414,0.002305,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,305.628111,v4,mean,set,Pinv
trn,5.623413251903491,EKF,IPLF2,0.2702914345670279,0.012463501240939038,0.06121548378710192,85.28448203485408,2.8589966666666666,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,366.60226909999983,v4,iplf,none,none
trn,5.623413251903491,EKF2,F0,0.16054258314550637,0.01056919120677434,0.0490468578177226,17.508093501329633,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,211.24679279999964,v4,conventional,none,none
trn,5.623413251903491,EKF2,F1,0.2248215296171677,0.010511280420324804,0.04446304981941129,25.09507562773536,0.021063333333333337,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,287.57552209999994,v4,single,single,I
trn,5.623413251903491,EKF2,F2,0.05999863266223103,0.010986034298573297,0.07449982725787245,1.025794672012709,0.07120333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,445.4547087000001,v4,single,set,Pinv
trn,5.623413251903491,EKF2,F3,0.07594016851522227,0.010277607277556888,0.022235612964525538,3.2673788800670986,0.026875,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,516.2906226999994,v4,mean,single,Pinv
trn,5.623413251903491,EKF2,F4,0.011864796983027198,0.009842774003694758,0.020224504426853734,0.9850249238044794,0.00011999999999999999,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,674.1368426999998,v4,mean,set,Pinv
trn,5.623413251903491,EKF2,IPLF2,0.21431273742317464,0.010457444322877037,0.04591228651492096,126.71921710114896,3.0518216666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,600.7638881000003,v4,iplf,none,none
trn,5.623413251903491,UKF,F0,0.16444032799936678,0.01056661595589602,0.04876005280084483,18.332222588959464,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,204.3954136000002,v4,conventional,none,none
trn,5.623413251903491,UKF,F1,0.21378857530159268,0.010515149226610166,0.04389264605057718,15.10197416464505,0.01879,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,271.5403331999996,v4,single,single,I
trn,5.623413251903491,UKF,F2,0.06791683077767378,0.0113882531172897,0.09388530052696747,1.1450008009553454,0.08189166666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,380.2981708999996,v4,single,set,Pinv
trn,5.623413251903491,UKF,F3,0.07277398060790582,0.010285815847149774,0.022136482286081154,5.835876389095457,0.026638333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,432.6940343999995,v4,mean,single,Pinv
trn,5.623413251903491,UKF,F4,0.011869947516388658,0.009847167791054478,0.020237067045321615,0.9814437980827785,0.00011833333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,547.0015175999997,v4,mean,set,Pinv
trn,5.623413251903491,UKF,IPLF2,0.17780142679378447,0.010345906697918765,0.04632878903588914,28.50435521374235,3.0110983333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,536.8600262,v4,iplf,none,none
trn,5.623413251903491,CKF,F0,0.2218744974409993,0.010837259011450398,0.04276383093613817,23.178399130571158,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,210.7755547000006,v4,conventional,none,none
trn,5.623413251903491,CKF,F1,0.1913610634087287,0.010115993684359666,0.024301112643883988,56.46229604384993,0.027026666666666664,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,282.4842959000007,v4,single,single,I
trn,5.623413251903491,CKF,F2,0.2585095122111244,0.010568830888456645,0.037905839995638166,4.4951596608474755,0.103815,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,385.2710492999995,v4,single,set,Pinv
trn,5.623413251903491,CKF,F3,0.063559316529401,0.010235049107557516,0.020994444942279266,12.204751770332374,0.010563333333333333,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,427.1787426000001,v4,mean,single,Pinv
trn,5.623413251903491,CKF,F4,0.0970667830515582,0.009727132750413175,0.019992388895434476,4.284174180711826,0.00133,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,501.5408720000005,v4,mean,set,Pinv
trn,5.623413251903491,CKF,IPLF2,0.28279794148305876,0.010486498332856278,0.04335217461062426,49.1115489489445,3.185531666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,530.6884569000003,v4,iplf,none,none
trn,13.33521432163324,EKF,F0,0.24440411243996807,0.027130892488534654,0.10177182811122969,7.14729122244912,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,140.42806579999979,v4,conventional,none,none
trn,13.33521432163324,EKF,F1,0.25784360038647747,0.026825502175988183,0.09306526361183791,6.6127217327857135,0.028468333333333335,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,155.54896139999983,v4,single,single,I
trn,13.33521432163324,EKF,F2,0.3576450854797998,0.024764983411510663,0.5590108138185179,2.4036028370499856,0.11606500000000002,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,233.39816419999988,v4,single,set,Pinv
trn,13.33521432163324,EKF,F3,0.07767598665685374,0.023057402899271884,0.05015486061038212,2.697537758442699,0.012176666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,246.78672629999983,v4,mean,single,Pinv
trn,13.33521432163324,EKF,F4,0.03964027397823233,0.02281345155593733,0.04772577670477254,1.1983348128065778,0.0012200000000000002,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,295.87701410000045,v4,mean,set,Pinv
trn,13.33521432163324,EKF,IPLF2,0.23241775704138373,0.025067506244320907,0.07744058456906634,5.563785468573969,2.78104,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,378.27967199999966,v4,iplf,none,none
trn,13.33521432163324,EKF2,F0,0.21366776765657366,0.02391555194730766,0.07905449089541396,3.600563692548845,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,206.05655969999953,v4,conventional,none,none
trn,13.33521432163324,EKF2,F1,0.21006606961885163,0.023888384104616807,0.07159331755000503,2.910817959585359,0.02242166666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,286.7896915000001,v4,single,single,I
trn,13.33521432163324,EKF2,F2,0.0928651510469268,0.02556790963279687,0.09330956544736582,1.3193925657185428,0.07675,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,450.0045374000001,v4,single,set,Pinv
trn,13.33521432163324,EKF2,F3,0.05236538880370299,0.02308681471240649,0.04819496249604435,1.2384189787366675,0.02555,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,496.6204988999998,v4,mean,single,Pinv
trn,13.33521432163324,EKF2,F4,0.033139582937855364,0.02269794585042481,0.04704560759888644,1.0030680387848039,0.0002933333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,642.0075145000001,v4,mean,set,Pinv
trn,13.33521432163324,EKF2,IPLF2,0.21274109463453375,0.02356802722842294,0.06474786402073593,4.5581016425072365,2.930775,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,569.3018755000003,v4,iplf,none,none
trn,13.33521432163324,UKF,F0,0.21948298025611146,0.023868663735252166,0.0790698780962282,3.629061704281732,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,209.91990929999974,v4,conventional,none,none
trn,13.33521432163324,UKF,F1,0.2100742056756946,0.023856755618777585,0.07165302998222746,2.92462453439333,0.020986666666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,293.7082773000002,v4,single,single,I
trn,13.33521432163324,UKF,F2,0.09093369047339898,0.02548023438865691,0.10042071373992956,0.9156240990494894,0.076545,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,384.54091719999997,v4,single,set,Pinv
trn,13.33521432163324,UKF,F3,0.05221481335039646,0.02308415228535477,0.04799992046325574,1.2128877242251266,0.025393333333333334,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,457.6667077000002,v4,mean,single,Pinv
trn,13.33521432163324,UKF,F4,0.03315651127810302,0.022745739173917468,0.04696651119509236,0.9993385327811686,0.00022999999999999998,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,538.7865409999995,v4,mean,set,Pinv
trn,13.33521432163324,UKF,IPLF2,0.2015742681223641,0.02346538778839198,0.06640801044311886,4.14138833481561,2.903556666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,515.4133200000006,v4,iplf,none,none
trn,13.33521432163324,CKF,F0,0.1359167083758715,0.023674446545609483,0.05574740869789946,2.1578561390671975,0.0,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,208.63941149999937,v4,conventional,none,none
trn,13.33521432163324,CKF,F1,0.1255326218424551,0.023126890718840214,0.05084172167089635,1.6621465988892719,0.01962,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,264.6313776999996,v4,single,single,I
trn,13.33521432163324,CKF,F2,0.04720881529018482,0.02502604116997135,0.059199758270955895,1.040909568465707,0.07143166666666667,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,390.18343689999983,v4,single,set,Pinv
trn,13.33521432163324,CKF,F3,0.031053878447089366,0.022912129268270763,0.04694461641552587,1.166164358479009,0.012833333333333332,per-run-rms-p95-v1,square-root-joseph-v1,10000,0,0.0,412.24885539999923,v4,mean,single,Pinv
